eid,subject,ts_all_zero,mean_global_nonzero_frac,mean_atlas_nonzero_frac,bbox_x0,bbox_x1,bbox_y0,bbox_y1,bbox_z0,bbox_z1,com_x,com_y,com_z
1196472,1196472_20227_2_0,1,0.002490502742544279,0.0,22,39,32,48,39,55,30.274021352313166,39.805604982206404,47.78603202846975
1197185,1197185_20227_2_0,1,0.003435520019853118,0.0,43,62,0,10,24,48,52.52692679780716,3.7349242179941955,35.38503708481135
1198062,1198062_20227_2_0,1,0.0336328657732025,0.0,0,37,0,43,0,30,13.741682587785757,16.437150009882075,13.336056393701824
1198442,1198442_20227_2_0,1,0.038208389050207785,0.0,0,38,0,43,0,35,13.832869403850614,15.921363952679192,15.605978891208537
1199447,1199447_20227_2_0,1,0.002439540497812501,0.0,22,40,32,48,40,55,30.307447774750226,40.084468664850135,48.05313351498638
1199550,1199550_20227_2_0,0,0.0222981978199238,0.4316132264529058,44,80,40,73,12,51,61.54787101902917,56.75306801808516,31.78551199880757
1199968,1199968_20227_2_0,1,0.0335830114033562,0.0,0,49,0,41,0,29,16.975752977270478,14.7964569656583,12.375944314320588
1201311,1201311_20227_2_0,1,0.04194635891379515,0.0,0,38,0,44,0,44,13.414029898050815,14.83762083355343,17.66546933600972
1202147,1202147_20227_2_0,0,0.01729725058689672,0.1538076152304609,14,45,60,91,22,57,29.75104079933389,76.15461474412349,39.336898738230964
1203136,1203136_20227_2_0,1,0.0033446742792442963,0.0,22,41,31,47,37,55,30.56111295130838,39.33653527658165,46.43988075521696
1206089,1206089_20227_2_0,1,0.042680879962864036,0.0,0,41,0,45,0,35,15.574172615184946,17.1130175210902,14.769448410123296
1206783,1206783_20227_2_0,1,0.009673963499954023,0.0,36,54,0,27,16,46,44.56310123683005,12.876431516262025,29.77897388914338
1209936,1209936_20227_2_0,1,0.03734313876465303,0.0,0,42,0,42,0,31,17.85145518734981,16.705521108375116,11.690123713175305
1209972,1209972_20227_2_0,1,0.002441756247583448,0.0,23,38,32,48,39,55,30.24410163339383,39.86978221415608,47.759981851179674
1215278,1215278_20227_2_0,0,0.003695870617939375,0.002129258517034068,23,41,33,51,36,56,31.11360911270983,41.79586330935252,46.773381294964025
1216861,1216861_20227_2_0,0,0.06808555896165534,0.6310120240480962,17,73,48,101,18,67,43.382436214527466,76.56098672220776,42.27315477740172
1216985,1216985_20227_2_0,0,0.05978314456991743,0.48208917835671344,9,50,29,73,11,74,28.15638782847189,50.25380823542493,43.905526110966974
1217569,1217569_20227_2_0,0,0.06255283178360102,0.530185370741483,8,50,29,76,7,73,28.594116396868692,51.67080514328221,42.34756119159789
1218404,1218404_20227_2_0,1,0.009322767161258945,0.0,18,43,74,97,27,58,30.962091503267974,85.55068330362448,41.17017231134878
1219786,1219786_20227_2_0,0,0.10198320683248599,0.5731462925851704,0,56,45,108,22,90,23.78563436281273,78.68621337707624,59.49046744810055
1220347,1220347_20227_2_0,1,0.026078266929159155,0.0,0,29,0,44,0,41,10.053485704575385,17.811164450486427,15.82934704108076
1221689,1221689_20227_2_0,0,0.00913110480607204,0.023046092184368736,33,61,54,81,8,33,46.01977675321524,66.92586750788644,19.606406212084444
1222309,1222309_20227_2_0,1,0.03862716575691674,0.0,0,38,0,46,0,47,13.521166752710377,17.22488957723857,19.589313371192567
1222712,1222712_20227_2_0,1,0.008773261218064122,0.0,44,70,10,37,25,49,56.86020962242707,23.09306730647809,36.86816517237025
1224043,1224043_20227_2_0,1,0.002474992494147651,0.0,23,39,32,47,39,55,30.188003581020592,39.41629364368845,47.77170993733214
1229350,1229350_20227_2_0,1,0.010531458661310462,0.0,35,58,0,25,16,43,46.667999158426255,11.734167893961708,28.673574584472963
1229520,1229520_20227_2_0,1,0.0333702994253453,0.0,0,39,0,36,0,35,17.2367451279838,15.211978353972311,15.373028783904918
1230418,1230418_20227_2_0,0,0.09219180859467178,0.1189879759519038,13,80,65,108,22,80,44.696004326143125,85.70742053716278,49.0612629934507
1230995,1230995_20227_2_0,0,0.005140539468596732,0.014779559118236472,24,43,39,71,41,61,33.08728448275862,54.546551724137935,51.695689655172416
1232476,1232476_20227_2_0,1,0.0321981677965144,0.0,0,31,0,43,0,44,10.928224890754567,19.269105047655096,19.068231084196402
1232633,1232633_20227_2_0,0,0.07030020085771674,0.6439128256513026,16,74,48,100,18,67,43.15352612087306,75.81306437632968,42.44953116381688
1233661,1233661_20227_2_0,1,0.028562122422390594,0.0,9,46,29,62,42,84,27.403203909856096,44.47833675962919,61.88472130638843
1234156,1234156_20227_2_0,0,0.005577042173473265,0.016533066132264528,20,41,30,53,27,59,30.177791021056812,41.471990464839095,44.33174413984903
1235472,1235472_20227_2_0,1,0.04027457571161574,0.0,0,41,0,45,0,49,13.647181800676698,16.81286276235799,20.346216268258466
1236216,1236216_20227_2_0,1,0.003461001142219007,0.0,36,51,0,14,0,20,43.2410371318822,4.946862996158771,8.587067861715749
1238765,1238765_20227_2_0,0,0.0016407627053861553,0.009268537074148297,38,50,35,51,31,46,44.386225523295074,42.63200540175557,38.646860229574614
1239530,1239530_20227_2_0,1,0.04119189611678774,0.0,0,45,0,42,0,31,17.99822489981442,17.72052930260079,12.110405852451521
1243270,1243270_20227_2_0,0,0.09327309448289386,0.27968436873747493,11,77,60,108,18,81,44.01216282025395,82.9087550925871,48.45830314404152
1244518,1244518_20227_2_0,0,0.006711506056198062,0.3395541082164329,25,43,46,75,26,47,34.198910531528554,60.00181578078574,36.43727302740178
1244547,1244547_20227_2_0,1,0.008408770380743362,0.0,27,54,0,14,0,30,40.63399209486166,5.531093544137023,15.555862977602109
1247665,1247665_20227_2_0,1,0.005671211538738508,0.0,77,90,38,65,38,65,85.30865403399102,50.54971674155109,52.60421957413557
1248767,1248767_20227_2_0,1,0.03235770178002258,0.0,0,43,0,39,0,30,14.85342554866984,14.696442633615229,13.102578149073851
1249407,1249407_20227_2_0,1,0.023019424370367005,0.0,0,31,0,39,0,34,11.466743671190683,17.451583405525074,12.534411396669555
1250712,1250712_20227_2_0,0,0.09881911615957387,0.5048847695390781,13,73,53,108,16,80,44.18692332701772,78.69309505925087,48.74410574346671
1250777,1250777_20227_2_0,1,0.031325162386761335,0.0,0,42,0,35,0,32,14.836145004420867,13.731918656056587,13.951193633952254
1257816,1257816_20227_2_0,0,0.3484809373507831,1.0,8,80,8,99,2,74,44.27340732286544,52.16760186807143,39.80983566948234
